City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talara,-4.5772,-81.2719,304.57,48,0,5.14,PE,1675100049
1,saint george,37.1041,-113.5841,275.06,59,100,3.09,US,1675100050
2,bluff,-46.6,168.3333,286.96,92,95,2.49,NZ,1675100051
3,constitucion,-35.3333,-72.4167,296.07,62,12,6.19,CL,1675100051
4,mataura,-46.1927,168.8643,285.11,98,90,1.31,NZ,1675100052
5,nerchinsk,51.9833,116.5833,250.41,100,100,0.41,RU,1675100052
6,vyartsilya,62.1764,30.693,273.7,96,100,4.51,RU,1675100053
7,puerto ayora,-0.7393,-90.3518,304.13,86,91,2.68,EC,1675100053
8,talnakh,69.4865,88.3972,251.39,97,100,3.62,RU,1675100054
9,vao,-22.6667,167.4833,296.89,72,13,2.46,NC,1675100054
10,rikitea,-23.1203,-134.9692,299.14,69,15,3.79,PF,1675100055
11,vaini,-21.2,-175.2,298.24,94,40,2.06,TO,1675100055
12,airai,-8.9266,125.4092,290.0,95,100,0.39,TL,1675100056
13,busselton,-33.65,115.3333,289.11,78,26,5.61,AU,1675100056
14,te anau,-45.4167,167.7167,287.43,88,89,0.74,NZ,1675100057
15,jamestown,42.097,-79.2353,272.6,75,100,2.06,US,1675100028
16,necochea,-38.5473,-58.7368,302.4,37,0,4.85,AR,1675099806
17,castro,-24.7911,-50.0119,293.82,77,100,3.38,BR,1675100058
18,chuy,-33.6971,-53.4616,300.81,58,61,4.82,UY,1675100058
19,hilo,19.7297,-155.09,296.08,96,100,1.34,US,1675099924
20,tasiilaq,65.6145,-37.6368,262.6,81,100,4.94,GL,1675100059
21,ushuaia,-54.8,-68.3,286.94,66,75,11.32,AR,1675099891
22,chernyshevskiy,63.0128,112.4714,241.47,100,98,1.14,RU,1675100060
23,port hawkesbury,45.6169,-61.3485,276.41,88,100,5.36,CA,1675100061
24,rincon,32.296,-81.2354,290.13,88,100,2.06,US,1675099984
25,pacifica,37.6138,-122.4869,281.54,36,0,5.66,US,1675100062
26,georgetown,5.4112,100.3354,300.11,73,20,3.09,MY,1675100062
27,kaitangata,-46.2817,169.8464,285.55,96,57,2.1,NZ,1675100062
28,albany,42.6001,-73.9662,276.02,74,80,1.06,US,1675099889
29,saint-pierre,-21.3393,55.4781,300.97,78,0,0.51,RE,1675100063
30,tabou,4.423,-7.3528,300.83,73,56,3.0,CI,1675100063
31,vila velha,-20.3297,-40.2925,303.12,72,20,7.2,BR,1675100064
32,tres arroyos,-38.3739,-60.2798,307.13,14,0,2.32,AR,1675100064
33,hermanus,-34.4187,19.2345,294.71,65,0,9.21,ZA,1675100065
34,yellowknife,62.456,-114.3525,240.44,68,20,1.54,CA,1675100043
35,vila do maio,15.1333,-23.2167,296.59,71,48,6.48,CV,1675100066
36,labuhan,-6.8844,112.2051,298.92,87,100,4.03,ID,1675100067
37,severo-kurilsk,50.6789,156.125,267.94,70,91,11.56,RU,1675100067
38,kruisfontein,-34.0033,24.7314,293.64,73,84,7.87,ZA,1675100068
39,rio de janeiro,-22.9028,-43.2075,309.12,66,40,3.09,BR,1675099800
40,atuona,-9.8,-139.0333,299.04,78,18,8.42,PF,1675100069
41,ahipara,-35.1667,173.1667,292.61,93,100,8.2,NZ,1675100069
42,harper,4.375,-7.7169,300.81,73,72,3.03,LR,1675100004
43,vardo,70.3705,31.1107,273.14,69,40,4.12,NO,1675100070
44,zaranj,30.9667,61.8833,282.13,42,2,3.94,AF,1675100070
45,meulaboh,4.1363,96.1285,299.01,85,100,0.47,ID,1675100071
